Model,Accuracy,Accuracy_std,AUC_ROC,AUC_ROC_std,Precision,Precision_std,Recall,Recall_std,F1,F1_std,Train_Accuracy
Logistic Regression,0.83731722318116,0.019270147955827426,0.9002877029279507,0.013630483851405518,0.8429809440417154,0.01990285131532158,0.8296871268211129,0.036472628628523455,0.8357768590271262,0.02142568035786626,0.8486757749090792
Random Forest,0.9123623593833701,0.010780341191998478,0.9704757512896812,0.0009647060495295693,0.9164346840858405,0.015461182065723878,0.9079133826924608,0.023585805555435175,0.9118665531508274,0.011688209573790676,0.9936950777208512
XGBoost,0.9167728111421939,0.006166184719962053,0.9724704448580237,0.0055114691088757614,0.9260538673539782,0.017197567579181602,0.9066316376084707,0.02258945298273936,0.9158448485880688,0.007075120238613702,1.0
